Validator,Stake,Reward,Sortition
86, 1000, 124, 123
87, 1000, 109, 117
88, 1000, 136, 136
89, 1000, 149, 150
90, 1000, 135, 135
91, 1000, 138, 146
92, 1000, 145, 145
93, 1000, 148, 144
94, 1000, 142, 145
95, 1000, 148, 151
96, 1000, 136, 144
97, 1000, 122, 123
98, 1000, 128, 132
99, 1000, 118, 119
100, 1000, 129, 134
101, 1000, 155, 154
102, 1000, 136, 138
103, 1000, 128, 131
104, 1000, 123, 126
105, 1000, 165, 161
106, 1000, 137, 136
107, 1000, 141, 142
108, 1000, 155, 158
109, 1000, 159, 160
110, 1000, 130, 133
111, 1000, 124, 120
112, 1000, 159, 160
113, 1000, 149, 149
114, 1000, 144, 143
115, 1000, 131, 134
116, 1000, 129, 131
117, 1000, 131, 128
118, 1000, 115, 118
119, 1000, 142, 140
120, 1000, 139, 144
121, 1000, 116, 121
122, 1000, 136, 134
123, 1000, 150, 148
124, 1000, 175, 164
125, 1000, 142, 142
126, 1000, 131, 131
127, 1000, 137, 142
128, 1000, 169, 166
129, 1000, 141, 143
130, 1000, 146, 146
131, 1000, 129, 127
132, 1000, 127, 127
133, 1000, 143, 151
134, 1000, 141, 145
135, 1000, 131, 136
136, 1000, 147, 152
137, 1000, 152, 152
138, 1000, 133, 134
139, 1000, 123, 127
140, 1000, 123, 127
141, 1000, 119, 126
142, 1000, 138, 134
143, 1000, 164, 165
144, 1000, 143, 150
145, 1000, 143, 143
146, 1000, 129, 126
147, 1000, 162, 162
148, 1000, 133, 134
149, 1000, 117, 121
150, 1000, 125, 127
151, 1000, 139, 140
152, 1000, 136, 139
153, 1000, 122, 128
154, 1000, 124, 125
155, 1000, 150, 153
156, 1000, 148, 150
157, 1000, 134, 139
158, 1000, 142, 140
159, 1000, 124, 123
160, 1000, 125, 131
161, 1000, 144, 152
162, 1000, 146, 146
163, 1000, 153, 151
164, 1000, 142, 144
165, 1000, 124, 125
166, 1000, 139, 135
167, 1000, 137, 135
168, 1000, 135, 132
169, 1000, 140, 138
170, 1000, 137, 140
171, 1000, 170, 168
172, 1000, 148, 151
173, 1000, 122, 133
174, 1000, 117, 117
175, 1000, 135, 138
176, 1000, 132, 133
177, 1000, 142, 146
178, 1000, 136, 134
179, 1000, 137, 142
180, 1000, 166, 167
181, 1000, 136, 138
182, 1000, 124, 121
183, 1000, 143, 138
184, 1000, 129, 133
185, 1000, 120, 124
186, 1000, 122, 130
187, 1000, 111, 113
188, 1000, 140, 135
189, 1000, 134, 137
190, 1000, 134, 143
191, 1000, 123, 129
192, 1000, 153, 156
193, 1000, 138, 134
194, 1000, 149, 150
195, 1000, 124, 126
196, 1000, 147, 150
197, 1000, 129, 133
198, 1000, 130, 129
199, 1000, 158, 163
200, 1000, 129, 129
201, 1000, 157, 158
202, 1000, 131, 132
203, 1000, 132, 134
204, 1000, 130, 125
205, 1000, 136, 139
206, 1000, 144, 146
207, 1000, 142, 139
208, 1000, 154, 145
209, 1000, 146, 145
210, 1000, 129, 131
211, 1000, 126, 128
212, 1000, 111, 114
213, 1000, 137, 138
214, 1000, 137, 139
215, 1000, 135, 130
216, 1000, 121, 123
217, 1000, 144, 139
218, 1000, 137, 135
219, 1000, 122, 124
220, 1000, 128, 125
221, 1000, 149, 158
222, 1000, 129, 129
223, 1000, 159, 166
224, 1000, 146, 140
225, 1000, 144, 143
226, 1000, 145, 148
227, 1000, 128, 133
228, 1000, 152, 152
229, 1000, 142, 143
230, 1000, 141, 149
231, 1000, 152, 155
232, 1000, 131, 133
233, 1000, 136, 140
234, 1000, 142, 145
235, 1000, 140, 143
236, 1000, 124, 124
237, 1000, 123, 123
238, 1000, 142, 137
239, 1000, 124, 129
240, 1000, 139, 138
241, 1000, 149, 149
242, 1000, 125, 130
243, 1000, 143, 142
244, 1000, 143, 143
245, 1000, 141, 142
246, 1000, 135, 132
247, 1000, 135, 129
248, 1000, 144, 142
249, 1000, 127, 126
250, 1000, 148, 152
251, 1000, 122, 122
252, 1000, 115, 118
253, 1000, 146, 145
254, 1000, 118, 117
255, 1000, 123, 122
256, 1000, 141, 141
257, 1000, 114, 119
258, 1000, 146, 145
259, 1000, 135, 139
260, 1000, 136, 137
261, 1000, 166, 164
262, 1000, 120, 121
263, 1000, 148, 144
264, 1000, 153, 150
265, 1000, 129, 122
266, 1000, 128, 131
267, 1000, 151, 149
268, 1000, 139, 140
269, 1000, 129, 131
270, 1000, 147, 143
271, 1000, 148, 152
272, 1000, 129, 130
273, 1000, 151, 150
274, 1000, 141, 142
275, 1000, 130, 124
276, 1000, 142, 147
277, 1000, 136, 136
278, 1000, 156, 153
279, 1000, 137, 132
280, 1000, 150, 145
281, 1000, 139, 138
282, 1000, 137, 140
283, 1000, 145, 143
284, 1000, 132, 139
285, 1000, 132, 134
286, 1000, 123, 126
287, 1000, 131, 134
288, 1000, 142, 142
289, 1000, 129, 130
290, 1000, 147, 150
291, 1000, 141, 146
292, 1000, 130, 131
293, 1000, 166, 165
294, 1000, 138, 139
295, 1000, 127, 123
296, 1000, 126, 131
297, 1000, 137, 139
298, 1000, 143, 145
299, 1000, 138, 139
300, 1000, 112, 116
301, 1000, 155, 151
302, 1000, 150, 147
303, 1000, 148, 144
304, 1000, 130, 128
305, 1000, 137, 139
306, 1000, 134, 130
307, 1000, 135, 133
308, 1000, 133, 135
309, 1000, 140, 140
310, 1000, 146, 142
311, 1000, 131, 134
312, 1000, 139, 139
313, 1000, 114, 113
314, 1000, 118, 122
315, 1000, 116, 121
316, 1000, 131, 133
317, 1000, 136, 133
318, 1000, 155, 162
319, 1000, 143, 143
320, 1000, 154, 156
321, 1000, 158, 158
322, 1000, 132, 135
323, 1000, 114, 120
324, 1000, 159, 162
325, 1000, 164, 159
326, 1000, 135, 138
327, 1000, 153, 147
328, 1000, 151, 153
329, 1000, 127, 128
330, 1000, 141, 136
331, 1000, 159, 157
332, 1000, 156, 159
333, 1000, 137, 147
334, 1000, 128, 124
335, 1000, 137, 144
336, 1000, 130, 130
337, 1000, 134, 133
338, 1000, 163, 169
339, 1000, 170, 168
340, 1000, 104, 107
341, 1000, 127, 130
342, 1000, 140, 142
343, 1000, 126, 136
344, 1000, 102, 104
345, 1000, 146, 144
346, 1000, 125, 127
347, 1000, 153, 155
348, 1000, 131, 129
349, 1000, 157, 155
350, 1000, 165, 162
351, 1000, 163, 167
352, 1000, 119, 121
353, 1000, 141, 143
354, 1000, 160, 160
355, 1000, 150, 148
356, 1000, 139, 143
357, 1000, 132, 131
358, 1000, 139, 137
359, 1000, 139, 137
360, 1000, 133, 137
361, 1000, 127, 126
362, 1000, 146, 141
363, 1000, 142, 144
364, 1000, 130, 136
365, 1000, 162, 159
366, 1000, 150, 151
367, 1000, 132, 129
368, 1000, 153, 160
369, 1000, 160, 161
370, 1000, 141, 142
371, 1000, 145, 145
372, 1000, 146, 147
373, 1000, 134, 139
374, 1000, 118, 125
375, 1000, 151, 142
376, 1000, 132, 134
377, 1000, 122, 120
378, 1000, 123, 122
379, 1000, 169, 171
380, 1000, 129, 142
381, 1000, 145, 147
382, 1000, 120, 128
383, 1000, 142, 148
384, 1000, 152, 157
385, 1000, 150, 151
386, 1000, 126, 130
387, 1000, 111, 108
388, 1000, 159, 164
389, 1000, 149, 148
390, 1000, 108, 114
391, 1000, 135, 126
392, 1000, 142, 140
393, 1000, 123, 124
394, 1000, 128, 122
395, 1000, 133, 134
396, 1000, 136, 136
397, 1000, 141, 147
398, 1000, 120, 116
399, 1000, 134, 131
400, 1000, 138, 136
401, 1000, 153, 147
402, 1000, 154, 154
403, 1000, 122, 119
404, 1000, 147, 145
405, 1000, 161, 161
406, 1000, 144, 144
407, 1000, 140, 141
408, 1000, 122, 125
409, 1000, 137, 148
410, 1000, 132, 137
411, 1000, 141, 145
412, 1000, 155, 150
413, 1000, 136, 134
414, 1000, 121, 123
415, 1000, 106, 111
416, 1000, 128, 130
417, 1000, 149, 146
418, 1000, 140, 143
419, 1000, 122, 119
420, 1000, 149, 150
421, 1000, 129, 137
422, 1000, 143, 146
423, 1000, 129, 126
424, 1000, 129, 129
425, 1000, 147, 141
426, 1000, 164, 161
427, 1000, 151, 150
428, 1000, 143, 145
429, 1000, 140, 137
430, 1000, 125, 129
431, 1000, 150, 146
432, 1000, 120, 117
433, 1000, 139, 141
434, 1000, 139, 139
435, 1000, 122, 121
436, 1000, 152, 150
437, 1000, 161, 168
438, 1000, 132, 137
439, 1000, 158, 157
440, 1000, 140, 142
441, 1000, 131, 129
442, 1000, 122, 124
443, 1000, 106, 108
444, 1000, 136, 133
445, 1000, 127, 126
446, 1000, 178, 177
447, 1000, 127, 133
448, 1000, 148, 140
449, 1000, 137, 134
450, 1000, 113, 114
451, 1000, 144, 140
452, 1000, 135, 135
453, 1000, 138, 130
454, 1000, 161, 158
455, 1000, 162, 160
456, 1000, 135, 139
457, 1000, 130, 130
458, 1000, 134, 139
459, 1000, 149, 154
460, 1000, 133, 133
461, 1000, 139, 142
462, 1000, 143, 142
463, 1000, 134, 130
464, 1000, 138, 147
465, 1000, 161, 158
466, 1000, 128, 128
467, 1000, 150, 146
468, 1000, 146, 141
469, 1000, 139, 145
470, 1000, 158, 151
471, 1000, 159, 155
472, 1000, 136, 137
473, 1000, 128, 129
474, 1000, 113, 120
475, 1000, 130, 130
476, 1000, 132, 134
477, 1000, 123, 120
478, 1000, 119, 121
479, 1000, 150, 148
480, 1000, 158, 159
481, 1000, 168, 171
482, 1000, 176, 178
483, 1000, 142, 142
484, 1000, 125, 129
485, 1000, 128, 130
486, 1000, 150, 151
487, 1000, 140, 142
488, 1000, 145, 143
489, 1000, 158, 160
490, 1000, 152, 149
491, 1000, 142, 139
492, 1000, 139, 141
493, 1000, 154, 156
494, 1000, 142, 142
495, 1000, 150, 145
496, 1000, 149, 156
497, 1000, 153, 151
498, 1000, 123, 127
499, 1000, 136, 143
500, 1000, 145, 148
501, 1000, 168, 164
502, 1000, 133, 134
503, 1000, 150, 152
504, 1000, 143, 144
505, 1000, 115, 117
506, 1000, 136, 138
507, 1000, 134, 145
508, 1000, 132, 133
509, 1000, 157, 154
510, 1000, 125, 121
511, 1000, 116, 119
512, 1000, 126, 124
513, 1000, 130, 132
514, 1000, 129, 130
515, 1000, 114, 113
516, 1000, 142, 146
517, 1000, 142, 140
518, 1000, 133, 135
519, 1000, 125, 130
520, 1000, 136, 133
521, 1000, 147, 147
522, 1000, 148, 151
523, 1000, 148, 144
524, 1000, 133, 142
525, 1000, 131, 135
526, 1000, 126, 131
527, 1000, 133, 129
528, 1000, 137, 145
529, 1000, 151, 154
530, 1000, 139, 137
531, 1000, 145, 143
532, 1000, 134, 132
533, 1000, 120, 124
534, 1000, 126, 125
535, 1000, 131, 131
536, 1000, 123, 126
537, 1000, 118, 124
538, 1000, 139, 132
539, 1000, 136, 139
540, 1000, 127, 123
541, 1000, 148, 144
542, 1000, 160, 154
543, 1000, 143, 140
544, 1000, 144, 148
545, 1000, 143, 143
546, 1000, 145, 151
547, 1000, 129, 128
548, 1000, 137, 132
549, 1000, 135, 134
550, 1000, 135, 133
551, 1000, 130, 131
552, 1000, 154, 157
553, 1000, 142, 142
554, 1000, 125, 131
555, 1000, 137, 140
556, 1000, 124, 129
557, 1000, 120, 128
558, 1000, 134, 136
559, 1000, 143, 143
560, 1000, 119, 123
561, 1000, 133, 135
562, 1000, 132, 135
563, 1000, 152, 158
564, 1000, 132, 129
565, 1000, 149, 141
566, 1000, 142, 144
567, 1000, 135, 133
568, 1000, 128, 131
569, 1000, 148, 148
570, 1000, 143, 144
571, 1000, 114, 116
572, 1000, 144, 141
573, 1000, 137, 136
574, 1000, 130, 133
575, 1000, 127, 123
576, 1000, 155, 153
577, 1000, 142, 144
578, 1000, 163, 168
579, 1000, 121, 120
580, 1000, 147, 141
581, 1000, 131, 134
582, 1000, 124, 124
583, 1000, 144, 142
584, 1000, 136, 137
585, 1000, 139, 135
586, 1000, 123, 129
587, 1000, 136, 137
588, 1000, 143, 144
589, 1000, 147, 147
590, 1000, 146, 148
591, 1000, 141, 140
592, 1000, 124, 125
593, 1000, 147, 150
594, 1000, 125, 127
595, 1000, 139, 140
596, 1000, 139, 143
597, 1000, 129, 137
598, 1000, 131, 133
599, 1000, 130, 127
600, 1000, 143, 145
601, 1000, 151, 147
602, 1000, 148, 153
603, 1000, 144, 143
604, 1000, 141, 140
605, 1000, 117, 126
606, 1000, 131, 137
607, 1000, 143, 142
608, 1000, 151, 156
609, 1000, 134, 136
610, 1000, 120, 119
611, 1000, 136, 142
612, 1000, 134, 135
613, 1000, 129, 129
614, 1000, 144, 153
615, 1000, 135, 146
616, 1000, 143, 143
617, 1000, 133, 136
618, 1000, 120, 124
619, 1000, 135, 136
620, 1000, 148, 146
621, 1000, 123, 122
622, 1000, 140, 138
623, 1000, 121, 120
624, 1000, 132, 137
625, 1000, 135, 141
626, 1000, 153, 147
627, 1000, 112, 114
628, 1000, 137, 138
629, 1000, 136, 136
630, 1000, 141, 137
631, 1000, 120, 122
632, 1000, 144, 152
633, 1000, 143, 140
634, 1000, 131, 133
635, 1000, 107, 108
636, 1000, 114, 117
637, 1000, 156, 155
638, 1000, 140, 140
639, 1000, 134, 131
640, 1000, 116, 124
641, 1000, 140, 139
642, 1000, 163, 161
643, 1000, 140, 138
644, 1000, 126, 132
645, 1000, 162, 163
646, 1000, 143, 143
647, 1000, 133, 138
648, 1000, 134, 131
649, 1000, 137, 139
650, 1000, 150, 152
651, 1000, 123, 123
652, 1000, 150, 153
653, 1000, 149, 140
654, 1000, 146, 148
655, 1000, 153, 151
656, 1000, 140, 143
657, 1000, 141, 139
658, 1000, 134, 135
659, 1000, 153, 151
660, 1000, 132, 136
661, 1000, 126, 128
662, 1000, 127, 126
663, 1000, 134, 133
664, 1000, 163, 164
665, 1000, 127, 126
666, 1000, 163, 160
667, 1000, 161, 163
668, 1000, 133, 134
669, 1000, 147, 154
670, 1000, 134, 137
671, 1000, 148, 146
672, 1000, 127, 128
673, 1000, 147, 149
674, 1000, 152, 151
675, 1000, 136, 139
676, 1000, 156, 161
677, 1000, 125, 124
678, 1000, 142, 141
679, 1000, 154, 153
680, 1000, 151, 152
681, 1000, 151, 158
682, 1000, 133, 134
683, 1000, 131, 126
684, 1000, 149, 145
685, 1000, 115, 117
686, 1000, 118, 123
687, 1000, 140, 144
688, 1000, 152, 149
689, 1000, 128, 132
690, 1000, 147, 147
691, 1000, 132, 133
692, 1000, 142, 138
693, 1000, 117, 120
694, 1000, 126, 128
695, 1000, 132, 133
696, 1000, 127, 126
697, 1000, 146, 142
698, 1000, 147, 146
699, 1000, 155, 155
700, 1000, 163, 161
701, 1000, 154, 154
702, 1000, 129, 127
703, 1000, 136, 138
704, 1000, 134, 138
705, 1000, 150, 148
706, 1000, 136, 141
707, 1000, 125, 126
708, 1000, 150, 153
709, 1000, 141, 142
710, 1000, 129, 133
711, 1000, 123, 127
712, 1000, 132, 131
713, 1000, 137, 144
714, 1000, 142, 147
715, 1000, 151, 154
716, 1000, 127, 125
717, 1000, 141, 145
718, 1000, 112, 114
719, 1000, 148, 148
720, 1000, 132, 130
721, 1000, 137, 141
722, 1000, 137, 135
723, 1000, 139, 136
724, 1000, 134, 136
725, 1000, 155, 153
726, 1000, 124, 120
727, 1000, 137, 139
728, 1000, 137, 142
729, 1000, 134, 136
730, 1000, 144, 142
731, 1000, 120, 120
732, 1000, 136, 141
733, 1000, 140, 150
734, 1000, 113, 112
735, 1000, 127, 132
736, 1000, 126, 133
737, 1000, 141, 141
738, 1000, 147, 150
739, 1000, 126, 125
740, 1000, 114, 118
741, 1000, 129, 129
742, 1000, 144, 142
743, 1000, 151, 152
744, 1000, 144, 144
745, 1000, 163, 167
746, 1000, 138, 138
747, 1000, 127, 131
748, 1000, 166, 172
749, 1000, 144, 141
750, 1000, 121, 124
751, 1000, 167, 160
752, 1000, 167, 173
753, 1000, 136, 133
754, 1000, 150, 152
755, 1000, 157, 159
756, 1000, 153, 151
757, 1000, 111, 113
758, 1000, 146, 152
759, 1000, 122, 124
760, 1000, 138, 141
761, 1000, 131, 130
762, 1000, 138, 144
763, 1000, 137, 141
764, 1000, 130, 130
765, 1000, 131, 132
766, 1000, 131, 135
767, 1000, 130, 133
768, 1000, 125, 122
769, 1000, 144, 144
770, 1000, 143, 144
771, 1000, 154, 155
772, 1000, 165, 159
773, 1000, 155, 154
774, 1000, 143, 145
775, 1000, 133, 134
776, 1000, 142, 146
777, 1000, 143, 151
778, 1000, 122, 123
779, 1000, 146, 146
780, 1000, 138, 140
781, 1000, 130, 134
782, 1000, 134, 133
783, 1000, 126, 129
784, 1000, 131, 133
785, 1000, 139, 138
786, 1000, 114, 125
787, 1000, 135, 137
788, 1000, 134, 136
789, 1000, 131, 129
790, 1000, 130, 133
791, 1000, 144, 144
792, 1000, 133, 129
793, 1000, 149, 156
794, 1000, 144, 146
795, 1000, 140, 140
796, 1000, 134, 133
797, 1000, 134, 138
798, 1000, 142, 144
799, 1000, 146, 144
800, 1000, 137, 137
801, 1000, 131, 126
802, 1000, 141, 143
803, 1000, 132, 141
804, 1000, 143, 139
805, 1000, 152, 149
806, 1000, 135, 136
807, 1000, 156, 149
808, 1000, 139, 138
809, 1000, 139, 139
810, 1000, 145, 144
811, 1000, 137, 139
812, 1000, 142, 144
813, 1000, 133, 130
814, 1000, 123, 124
815, 1000, 131, 131
816, 1000, 144, 147
817, 1000, 151, 153
818, 1000, 131, 134
819, 1000, 134, 133
820, 1000, 133, 133
821, 1000, 137, 138
822, 1000, 127, 133
823, 1000, 137, 135
824, 1000, 132, 138
825, 1000, 132, 135
826, 1000, 133, 130
827, 1000, 136, 134
828, 1000, 145, 148
829, 1000, 130, 136
830, 1000, 146, 144
831, 1000, 128, 133
832, 1000, 113, 111
833, 1000, 122, 129
834, 1000, 140, 142
835, 1000, 125, 129
836, 1000, 123, 123
837, 1000, 146, 143
838, 1000, 143, 141
839, 1000, 162, 158
840, 1000, 154, 150
841, 1000, 151, 147
842, 1000, 158, 161
843, 1000, 122, 125
844, 1000, 141, 149
845, 1000, 130, 136
846, 1000, 146, 143
847, 1000, 134, 141
848, 1000, 155, 157
849, 1000, 137, 139
850, 1000, 146, 143
851, 1000, 152, 145
852, 1000, 150, 147
853, 1000, 127, 125
854, 1000, 152, 154
855, 1000, 156, 153
856, 1000, 129, 136
857, 1000, 148, 147
858, 1000, 136, 133
859, 1000, 118, 117
860, 1000, 143, 138
861, 1000, 133, 135
862, 1000, 135, 135
863, 1000, 118, 121
864, 1000, 147, 143
865, 1000, 143, 146
866, 1000, 149, 151
867, 1000, 132, 134
868, 1000, 168, 168
869, 1000, 124, 126
870, 1000, 161, 160
871, 1000, 112, 114
872, 1000, 120, 123
873, 1000, 142, 146
874, 1000, 132, 137
875, 1000, 117, 119
876, 1000, 132, 132
877, 1000, 122, 126
878, 1000, 145, 139
879, 1000, 127, 129
880, 1000, 152, 153
881, 1000, 121, 123
882, 1000, 134, 135
883, 1000, 114, 116
884, 1000, 132, 130
885, 1000, 115, 116
886, 1000, 140, 139
887, 1000, 161, 164
888, 1000, 133, 131
889, 1000, 156, 156
890, 1000, 121, 124
891, 1000, 144, 144
892, 1000, 132, 137
893, 1000, 129, 129
894, 1000, 137, 141
895, 1000, 141, 141
896, 1000, 126, 126
897, 1000, 131, 129
898, 1000, 140, 142
899, 1000, 139, 140
900, 1000, 154, 160
901, 1000, 161, 163
902, 1000, 133, 133
903, 1000, 137, 136
904, 1000, 114, 120
905, 1000, 151, 151
906, 1000, 132, 132
907, 1000, 140, 137
908, 1000, 132, 129
909, 1000, 145, 146
910, 1000, 145, 144
911, 1000, 132, 132
912, 1000, 120, 118
913, 1000, 138, 136
914, 1000, 155, 151
915, 1000, 147, 149
916, 1000, 153, 150
917, 1000, 133, 137
918, 1000, 139, 148
919, 1000, 152, 153
920, 1000, 146, 136
921, 1000, 145, 146
922, 1000, 151, 148
923, 1000, 142, 144
924, 1000, 127, 129
925, 1000, 139, 142
926, 1000, 109, 110
927, 1000, 159, 161
928, 1000, 129, 133
929, 1000, 141, 143
930, 1000, 135, 133
931, 1000, 129, 130
932, 1000, 124, 117
933, 1000, 142, 135
934, 1000, 146, 147
935, 1000, 136, 134
936, 1000, 137, 140
937, 1000, 165, 164
938, 1000, 116, 123
939, 1000, 133, 140
940, 1000, 137, 138
941, 1000, 126, 124
942, 1000, 144, 146
943, 1000, 117, 122
944, 1000, 150, 144
945, 1000, 136, 138
946, 1000, 133, 131
947, 1000, 152, 154
948, 1000, 130, 134
949, 1000, 134, 134
950, 1000, 148, 146
951, 1000, 132, 138
952, 1000, 131, 136
953, 1000, 151, 152
954, 1000, 124, 124
955, 1000, 118, 122
956, 1000, 135, 133
957, 1000, 148, 157
958, 1000, 121, 121
959, 1000, 129, 134
960, 1000, 150, 148
961, 1000, 136, 143
962, 1000, 173, 170
963, 1000, 129, 132
964, 1000, 151, 146
965, 1000, 126, 128
966, 1000, 109, 113
967, 1000, 119, 119
968, 1000, 134, 137
969, 1000, 144, 140
970, 1000, 134, 132
971, 1000, 151, 146
972, 1000, 136, 138
973, 1000, 157, 161
974, 1000, 146, 145
975, 1000, 145, 146
976, 1000, 131, 131
977, 1000, 139, 138
978, 1000, 136, 142
979, 1000, 158, 154
980, 1000, 146, 143
981, 1000, 128, 124
982, 1000, 136, 138
983, 1000, 125, 124
984, 1000, 138, 135
985, 1000, 143, 140
986, 1000, 143, 147
987, 1000, 126, 125
988, 1000, 140, 142
989, 1000, 142, 140
990, 1000, 145, 143
991, 1000, 148, 151
992, 1000, 129, 131
993, 1000, 126, 122
994, 1000, 157, 157
995, 1000, 153, 154
996, 1000, 136, 143
997, 1000, 139, 138
998, 1000, 139, 142
999, 1000, 135, 134
1000, 1000, 145, 148
1001, 500, 60, 59
1002, 500, 73, 72
1003, 500, 64, 62
1004, 500, 85, 83
1005, 500, 72, 72
1006, 500, 67, 69
1007, 500, 70, 73
1008, 500, 68, 65
1009, 500, 61, 62
1010, 500, 94, 90
1011, 500, 74, 73
1012, 500, 72, 70
1013, 500, 84, 83
1014, 500, 72, 71
1015, 500, 86, 85
1016, 500, 77, 77
1017, 500, 79, 80
1018, 500, 53, 56
1019, 500, 57, 60
1020, 500, 61, 60
1021, 500, 57, 55
1022, 500, 59, 60
1023, 500, 71, 72
1024, 500, 82, 76
1025, 500, 71, 71
1026, 500, 72, 75
1027, 500, 69, 72
1028, 500, 76, 75
1029, 500, 61, 62
1030, 500, 88, 88
1031, 500, 72, 73
1032, 500, 64, 60
1033, 500, 68, 67
1034, 500, 86, 87
1035, 500, 68, 70
1036, 500, 68, 68
1037, 500, 69, 66
1038, 500, 59, 61
1039, 500, 56, 58
1040, 500, 70, 67
1041, 500, 71, 69
1042, 500, 75, 75
1043, 500, 91, 89
1044, 500, 74, 74
1045, 500, 53, 53
1046, 500, 76, 73
1047, 500, 69, 69
1048, 500, 65, 63
1049, 500, 77, 77
1050, 500, 74, 75
1051, 500, 75, 76
1052, 500, 66, 62
1053, 500, 77, 75
1054, 500, 65, 65
1055, 500, 48, 51
1056, 500, 71, 70
1057, 500, 73, 73
1058, 500, 61, 64
1059, 500, 58, 58
1060, 500, 69, 66
1061, 500, 60, 62
1062, 500, 62, 59
1063, 500, 68, 69
1064, 500, 78, 76
1065, 500, 57, 57
1066, 500, 65, 66
1067, 500, 63, 65
1068, 500, 71, 68
1069, 500, 64, 66
1070, 500, 72, 72
1071, 500, 58, 60
1072, 500, 70, 71
1073, 500, 80, 79
1074, 500, 59, 62
1075, 500, 65, 72
1076, 500, 66, 68
1077, 500, 84, 86
1078, 500, 72, 72
1079, 500, 69, 69
1080, 500, 72, 74
1081, 500, 68, 65
1082, 500, 72, 75
1083, 500, 56, 57
1084, 500, 71, 69
1085, 500, 63, 63
1086, 500, 74, 75
1087, 500, 76, 74
1088, 500, 83, 80
1089, 500, 74, 74
1090, 500, 58, 60
1091, 500, 54, 55
1092, 500, 79, 79
1093, 500, 68, 72
1094, 500, 66, 65
1095, 500, 56, 55
1096, 500, 59, 59
1097, 500, 62, 64
1098, 500, 64, 67
1099, 500, 70, 69
1100, 500, 63, 61
1101, 500, 60, 62
1102, 500, 72, 72
1103, 500, 59, 58
1104, 500, 64, 63
1105, 500, 78, 71
1106, 500, 67, 66
1107, 500, 77, 79
1108, 500, 74, 79
1109, 500, 73, 77
1110, 500, 65, 69
1111, 500, 74, 74
1112, 500, 74, 72
1113, 500, 72, 68
1114, 500, 69, 70
1115, 500, 65, 65
1116, 500, 89, 87
1117, 500, 59, 61
1118, 500, 77, 78
1119, 500, 82, 83
1120, 500, 62, 63
1121, 500, 60, 65
1122, 500, 83, 82
1123, 500, 54, 52
1124, 500, 72, 73
1125, 500, 63, 63
1126, 500, 56, 55
1127, 500, 63, 62
1128, 500, 76, 78
1129, 500, 73, 72
1130, 500, 77, 76
1131, 500, 59, 59
1132, 500, 77, 75
1133, 500, 79, 81
1134, 500, 66, 66
1135, 500, 63, 61
1136, 500, 68, 65
1137, 500, 66, 66
1138, 500, 64, 63
1139, 500, 67, 72
1140, 500, 73, 73
1141, 500, 68, 74
1142, 500, 71, 73
1143, 500, 69, 69
1144, 500, 63, 64
1145, 500, 65, 66
1146, 500, 81, 81
1147, 500, 58, 59
1148, 500, 61, 64
1149, 500, 56, 59
1150, 500, 81, 79
1151, 500, 67, 68
1152, 500, 87, 89
1153, 500, 63, 63
1154, 500, 77, 76
1155, 500, 74, 75
1156, 500, 68, 72
1157, 500, 80, 86
1158, 500, 67, 70
1159, 500, 59, 64
1160, 500, 54, 57
1161, 500, 60, 60
1162, 500, 77, 83
1163, 500, 78, 81
